Reg,Regulator,TargetGene,Weight,Module
YBL071C-B_snR76,YBL071C-B,snR76,0.035516209693049,1
YBL071C-B_snR56,YBL071C-B,snR56,0.0103819405202352,1
YBL071C-B_YLR149C-A,YBL071C-B,YLR149C-A,0.0211436548281424,1
YBL071C-B_YDL081C,YBL071C-B,YDL081C,0.0121025005668381,1
YBL071C-B_YOL077W-A,YBL071C-B,YOL077W-A,0.0104737930350015,1
YBL071C-B_YOR314W-A,YBL071C-B,YOR314W-A,0.0210249928054292,1
YBL071C-B_snR71,YBL071C-B,snR71,0.0234217982516043,1
YBL071C-B_YPR036W-A,YBL071C-B,YPR036W-A,0.0162824779136443,1
YBL071C-B_YDR461W,YBL071C-B,YDR461W,0.0240829379257524,1
YBL071C-B_YPL037C,YBL071C-B,YPL037C,0.0129164363161781,1
YBL071C-B_YKL156W,YBL071C-B,YKL156W,0.0116844767236887,1
YBL071C-B_snR58,YBL071C-B,snR58,0.0195745703646321,1
YBL071C-B_YGR236C,YBL071C-B,YGR236C,0.0155306526893095,1
YBL071C-B_YML009C,YBL071C-B,YML009C,0.0151180003990856,1
YBL071C-B_YMR272W-B,YBL071C-B,YMR272W-B,0.0100353259273671,1
YBL071C-B_YPL189C-A,YBL071C-B,YPL189C-A,0.0409427418938609,1
YBL071C-B_YKL138C-A,YBL071C-B,YKL138C-A,0.0107564072488318,1
YBL071C-B_YDR210W,YBL071C-B,YDR210W,0.0136667181628555,1
YBL071C-B_YOL097W-A,YBL071C-B,YOL097W-A,0.0205698375582886,1
YBL071C-B_YMR194C-B,YBL071C-B,YMR194C-B,0.0130406972086746,1
YBL071C-B_YPR133W-A,YBL071C-B,YPR133W-A,0.0175862918016625,1
YBL071C-B_YDR119W-A,YBL071C-B,YDR119W-A,0.0141616824617805,1
YBL071C-B_YDR462W,YBL071C-B,YDR462W,0.0102101713247174,1
YBL071C-B_YEL059C-A,YBL071C-B,YEL059C-A,0.0110268546706814,1
YBL071C-B_YDR524C-B,YBL071C-B,YDR524C-B,0.0263800899616942,1
YBL071C-B_YMR174C,YBL071C-B,YMR174C,0.0142969887964193,1
YBL071C-B_YNL130C-A,YBL071C-B,YNL130C-A,0.0105248524978751,1
YBL071C-B_YLR099W-A,YBL071C-B,YLR099W-A,0.01779056872225,1
YBL071C-B_YMR251W-A,YBL071C-B,YMR251W-A,0.0210431041194792,1
YBL071C-B_snR4,YBL071C-B,snR4,0.010071388771494,1
