Reg,Regulator,TargetGene,Weight,Module,RegulatorBiotype,TargetBiotype
YKL106C-A_YEL032C-A,YKL106C-A,YEL032C-A,0.0902273032887603,1,protein_coding,protein_coding
YKL106C-A_snR18,YKL106C-A,snR18,0.0813876563381492,1,protein_coding,snoRNA
YKL106C-A_YOR302W,YKL106C-A,YOR302W,0.0556867835179548,1,protein_coding,protein_coding
YEL032C-A_YKL106C-A,YEL032C-A,YKL106C-A,0.0887114432772751,1,protein_coding,protein_coding
YEL032C-A_snR18,YEL032C-A,snR18,0.122393887507261,1,protein_coding,snoRNA
YEL032C-A_YCR038W-A,YEL032C-A,YCR038W-A,0.0555595943790779,1,protein_coding,protein_coding
YEL032C-A_YDL061C,YEL032C-A,YDL061C,0.0699669379000501,1,protein_coding,protein_coding
YEL032C-A_YML129C,YEL032C-A,YML129C,0.0697964699156126,1,protein_coding,protein_coding
YEL032C-A_snR128,YEL032C-A,snR128,0.0647968532841586,1,protein_coding,snoRNA
YEL032C-A_tV(AAC)O,YEL032C-A,tV(AAC)O,0.152636017702119,1,protein_coding,tRNA
YEL032C-A_YMR272W-A,YEL032C-A,YMR272W-A,0.103543177363726,1,protein_coding,protein_coding
YEL032C-A_YCR047W-A,YEL032C-A,YCR047W-A,0.0526784396375635,1,protein_coding,protein_coding
YEL032C-A_snR39,YEL032C-A,snR39,0.129739214604677,1,protein_coding,snoRNA
snR77_YEL032C-A,snR77,YEL032C-A,0.0746981281133922,1,snoRNA,protein_coding
snR77_YDL184C,snR77,YDL184C,0.0552134838661273,1,snoRNA,protein_coding
snR77_YMR272W-A,snR77,YMR272W-A,0.0727144412407822,1,snoRNA,protein_coding
YGR068W-A_YDL232W,YGR068W-A,YDL232W,0.0558847795868659,1,protein_coding,protein_coding
YDL232W_YKL106C-A,YDL232W,YKL106C-A,0.0522570169818648,1,protein_coding,protein_coding
YDL232W_YGR068W-A,YDL232W,YGR068W-A,0.0561212164854434,1,protein_coding,protein_coding
YDL232W_snR64,YDL232W,snR64,0.0606839464006097,1,protein_coding,snoRNA
YDL232W_YHL015W-A,YDL232W,YHL015W-A,0.0507777536102989,1,protein_coding,protein_coding
snR18_tV(AAC)O,snR18,tV(AAC)O,0.142668228203284,1,snoRNA,tRNA
snR18_snR39,snR18,snR39,0.184635135738049,1,snoRNA,snoRNA
snR87_YBR141W-A,snR87,YBR141W-A,0.136998116244712,1,snoRNA,protein_coding
YEL008C-A_snR87,YEL008C-A,snR87,0.0753840609719758,1,protein_coding,snoRNA
YEL008C-A_snR67,YEL008C-A,snR67,0.0880568735262458,1,protein_coding,snoRNA
YEL008C-A_YJR151W-A,YEL008C-A,YJR151W-A,0.0886972846866964,1,protein_coding,protein_coding
YEL008C-A_YBR141W-A,YEL008C-A,YBR141W-A,0.141034651032608,1,protein_coding,protein_coding
YEL008C-A_snR55,YEL008C-A,snR55,0.0514599036409749,1,protein_coding,snoRNA
YEL008C-A_snR39,YEL008C-A,snR39,0.136829520694494,1,protein_coding,snoRNA
YEL008C-A_snR39B,YEL008C-A,snR39B,0.0777703558769301,1,protein_coding,snoRNA
snR64_YDL232W,snR64,YDL232W,0.0619074992803541,1,snoRNA,protein_coding
YNL097W-A_YMR272W-A,YNL097W-A,YMR272W-A,0.0670875913631826,1,protein_coding,protein_coding
YKL156C-A_YGR068W-A,YKL156C-A,YGR068W-A,0.0634579028322717,1,protein_coding,protein_coding
YKL156C-A_tV(AAC)O,YKL156C-A,tV(AAC)O,-0.129252694365706,1,protein_coding,tRNA
YKL156C-A_snR74,YKL156C-A,snR74,0.0587893497025457,1,protein_coding,snoRNA
YKL156C-A_YDL133C-A,YKL156C-A,YDL133C-A,0.0769247255449694,1,protein_coding,protein_coding
YKL156C-A_snR59,YKL156C-A,snR59,0.0797147802632168,1,protein_coding,snoRNA
YKL156C-A_snR79,YKL156C-A,snR79,0.164771724461293,1,protein_coding,snoRNA
YKL156C-A_YLR154W-F,YKL156C-A,YLR154W-F,0.0937051107779391,1,protein_coding,protein_coding
snR128_snR18,snR128,snR18,0.0624366180866404,1,snoRNA,snoRNA
tV(AAC)O_YEL032C-A,tV(AAC)O,YEL032C-A,0.152543631460266,1,tRNA,protein_coding
tV(AAC)O_snR18,tV(AAC)O,snR18,0.149680905388247,1,tRNA,snoRNA
tV(AAC)O_YDL061C,tV(AAC)O,YDL061C,0.0798581798191602,1,tRNA,protein_coding
tV(AAC)O_snR76,tV(AAC)O,snR76,-0.0844201752243906,1,tRNA,snoRNA
tV(AAC)O_YML129C,tV(AAC)O,YML129C,0.0781617981924773,1,tRNA,protein_coding
tV(AAC)O_snR69,tV(AAC)O,snR69,0.0768056096844532,1,tRNA,snoRNA
tV(AAC)O_tF(GAA)Q,tV(AAC)O,tF(GAA)Q,0.0712990339754932,1,tRNA,tRNA
tV(AAC)O_YKL156C-A,tV(AAC)O,YKL156C-A,-0.129854725440117,1,tRNA,protein_coding
tV(AAC)O_snR128,tV(AAC)O,snR128,0.0751222936691963,1,tRNA,snoRNA
tV(AAC)O_snR74,tV(AAC)O,snR74,-0.0681263936325118,1,tRNA,snoRNA
tV(AAC)O_YDL184C,tV(AAC)O,YDL184C,0.0981956032965751,1,tRNA,protein_coding
tV(AAC)O_YDL133C-A,tV(AAC)O,YDL133C-A,-0.0872500626909309,1,tRNA,protein_coding
tV(AAC)O_tN(GUU)Q,tV(AAC)O,tN(GUU)Q,0.0531715069944509,1,tRNA,tRNA
tV(AAC)O_snR65,tV(AAC)O,snR65,0.0580854504551541,1,tRNA,snoRNA
tV(AAC)O_YDR371C-A,tV(AAC)O,YDR371C-A,-0.0590548066551637,1,tRNA,protein_coding
tV(AAC)O_tE(UUC)M,tV(AAC)O,tE(UUC)M,-0.0682941490004258,1,tRNA,tRNA
tV(AAC)O_snR39,tV(AAC)O,snR39,0.16580514563389,1,tRNA,snoRNA
tV(AAC)O_snR79,tV(AAC)O,snR79,-0.174470772487582,1,tRNA,snoRNA
YDL133C-A_YKL156C-A,YDL133C-A,YKL156C-A,0.0777867088798942,1,protein_coding,protein_coding
snR40_snR87,snR40,snR87,0.0506167064594675,1,snoRNA,snoRNA
YMR272W-A_YKL106C-A,YMR272W-A,YKL106C-A,0.0668940959708187,1,protein_coding,protein_coding
YMR272W-A_YEL032C-A,YMR272W-A,YEL032C-A,0.10692570977958,1,protein_coding,protein_coding
YMR272W-A_snR77,YMR272W-A,snR77,0.0672348607414998,1,protein_coding,snoRNA
YMR272W-A_YLR402W,YMR272W-A,YLR402W,0.0536698278431665,1,protein_coding,protein_coding
YMR272W-A_YDL061C,YMR272W-A,YDL061C,0.0521899410976126,1,protein_coding,protein_coding
YMR272W-A_YML129C,YMR272W-A,YML129C,0.0575200576715147,1,protein_coding,protein_coding
YMR272W-A_YNL097W-A,YMR272W-A,YNL097W-A,0.064346815182165,1,protein_coding,protein_coding
YMR272W-A_YOR302W,YMR272W-A,YOR302W,0.0543943665306757,1,protein_coding,protein_coding
YMR272W-A_YLR399W-A,YMR272W-A,YLR399W-A,0.0565453010218413,1,protein_coding,protein_coding
snR67_YEL008C-A,snR67,YEL008C-A,0.0915328907353989,1,snoRNA,protein_coding
snR67_YJR151W-A,snR67,YJR151W-A,0.104588263983225,1,snoRNA,protein_coding
snR67_YBR141W-A,snR67,YBR141W-A,0.158590382797123,1,snoRNA,protein_coding
snR67_snR55,snR67,snR55,0.0578311763257477,1,snoRNA,snoRNA
snR67_snR39B,snR67,snR39B,0.0833717246672516,1,snoRNA,snoRNA
snR67_snR79,snR67,snR79,0.142046096788779,1,snoRNA,snoRNA
YPL189C-A_YLR154W-F,YPL189C-A,YLR154W-F,0.0635546941308252,1,protein_coding,protein_coding
YOR302W_YKL106C-A,YOR302W,YKL106C-A,0.0554096881835268,1,protein_coding,protein_coding
YOR302W_YEL032C-A,YOR302W,YEL032C-A,0.0736036599413109,1,protein_coding,protein_coding
YJR151W-A_snR67,YJR151W-A,snR67,0.0912099885128904,1,protein_coding,snoRNA
YJR151W-A_YER053C-A,YJR151W-A,YER053C-A,-0.0979345136324054,1,protein_coding,protein_coding
YJR151W-A_snR79,YJR151W-A,snR79,0.133186143768076,1,protein_coding,snoRNA
YBR141W-A_YDL232W,YBR141W-A,YDL232W,0.138391754413908,1,protein_coding,protein_coding
YBR141W-A_snR87,YBR141W-A,snR87,0.133469797220712,1,protein_coding,snoRNA
YBR141W-A_snR67,YBR141W-A,snR67,0.161466021650322,1,protein_coding,snoRNA
YBR141W-A_YER090C-A,YBR141W-A,YER090C-A,0.0535837965776556,1,protein_coding,protein_coding
YBR141W-A_snR24,YBR141W-A,snR24,0.069319165377894,1,protein_coding,snoRNA
YBR141W-A_YJR151W-A,YBR141W-A,YJR151W-A,0.154667508904127,1,protein_coding,protein_coding
YBR141W-A_YLR163W-A,YBR141W-A,YLR163W-A,0.0597675345997603,1,protein_coding,protein_coding
YBR141W-A_snR55,YBR141W-A,snR55,0.0942793208990966,1,protein_coding,snoRNA
YBR141W-A_YKL100W-A,YBR141W-A,YKL100W-A,0.107336243603813,1,protein_coding,protein_coding
YBR141W-A_snR39,YBR141W-A,snR39,0.182206953171022,1,protein_coding,snoRNA
YBR141W-A_snR39B,YBR141W-A,snR39B,0.132577706161133,1,protein_coding,snoRNA
YBR141W-A_snR79,YBR141W-A,snR79,0.227505042119538,1,protein_coding,snoRNA
YER053C-A_YPR182W,YER053C-A,YPR182W,0.0750002722882093,1,protein_coding,protein_coding
YER053C-A_snR77,YER053C-A,snR77,0.0758389584888497,1,protein_coding,snoRNA
YER053C-A_YJL136W-A,YER053C-A,YJL136W-A,0.0551489433701347,1,protein_coding,protein_coding
YER053C-A_YEL008C-A,YER053C-A,YEL008C-A,-0.0838170284710588,1,protein_coding,protein_coding
YER053C-A_YJL127W-A,YER053C-A,YJL127W-A,0.0522688147061387,1,protein_coding,protein_coding
YER053C-A_YDR276C,YER053C-A,YDR276C,0.0511592868749627,1,protein_coding,protein_coding
YER053C-A_YLR154W-E,YER053C-A,YLR154W-E,0.0693569489762349,1,protein_coding,protein_coding
YER053C-A_YNL097W-A,YER053C-A,YNL097W-A,0.0623504070325326,1,protein_coding,protein_coding
YER053C-A_tG(UCC)G,YER053C-A,tG(UCC)G,0.055936490059273,1,protein_coding,tRNA
YER053C-A_YDL184C,YER053C-A,YDL184C,0.0657380854789348,1,protein_coding,protein_coding
YER053C-A_YMR272W-A,YER053C-A,YMR272W-A,0.0964531600192596,1,protein_coding,protein_coding
YER053C-A_snR75,YER053C-A,snR75,0.0717752831771463,1,protein_coding,snoRNA
YER053C-A_snR67,YER053C-A,snR67,-0.0867471444075826,1,protein_coding,snoRNA
YER053C-A_snR50,YER053C-A,snR50,0.0640706015047426,1,protein_coding,snoRNA
YER053C-A_YJR151W-A,YER053C-A,YJR151W-A,-0.114455084980053,1,protein_coding,protein_coding
YER053C-A_snR59,YER053C-A,snR59,0.0881972620913958,1,protein_coding,snoRNA
YER053C-A_snR39B,YER053C-A,snR39B,-0.074254721861858,1,protein_coding,snoRNA
YER053C-A_YCR024C-A,YER053C-A,YCR024C-A,0.0924411811544112,1,protein_coding,protein_coding
