Reg,Weight,Module,Regulator,TargetGene
snR79_YBR141W-A,0.166304241428007,L1,snR79,YBR141W-A
snR79_snR55,0.104445868055773,L1,snR79,snR55
snR79_YKL100W-A,0.122009113280084,L1,snR79,YKL100W-A
snR79_snR39,0.198332994545808,L1,snR79,snR39
snR79_YLR154W-F,-0.123523926829318,L1,snR79,YLR154W-F
YLR154W-F_YBL071C-B,0.268674338507162,L1,YLR154W-F,YBL071C-B
YLR154W-F_YJL136W-A,-0.130900132321915,L1,YLR154W-F,YJL136W-A
YLR154W-F_YLR154W-E,0.101787669229609,L1,YLR154W-F,YLR154W-E
YLR154W-F_YKL156C-A,0.159073740793048,L1,YLR154W-F,YKL156C-A
YLR154W-F_snR79,-0.161374359484674,L1,YLR154W-F,snR79
YLR154W-F_YPL135C-A,0.104844285033445,L1,YLR154W-F,YPL135C-A
YDL232W_YMR272W-A,0.114503650446001,L2,YDL232W,YMR272W-A
YDL232W_YER053C-A,0.113268101348486,L2,YDL232W,YER053C-A
YJL136W-A_tV(AAC)O,-0.141684192988132,L2,YJL136W-A,tV(AAC)O
YJL136W-A_snR59,0.117860479722088,L2,YJL136W-A,snR59
YJL136W-A_snR79,0.175802124835249,L2,YJL136W-A,snR79
YNL097W-A_YLR154W-F,0.102294096528677,L2,YNL097W-A,YLR154W-F
tV(AAC)O_YJL136W-A,-0.138750125612123,L2,tV(AAC)O,YJL136W-A
tV(AAC)O_YOR302W,0.113511784941227,L2,tV(AAC)O,YOR302W
tV(AAC)O_YLR162W-A,0.100631403449826,L2,tV(AAC)O,YLR162W-A
tV(AAC)O_snR59,-0.112713678479677,L2,tV(AAC)O,snR59
tV(AAC)O_snR79,-0.160355469733699,L2,tV(AAC)O,snR79
tV(AAC)O_YLR154W-F,0.144080612150256,L2,tV(AAC)O,YLR154W-F
YDL133C-A_snR67,0.102724537447184,L2,YDL133C-A,snR67
snR67_snR39,0.124908559848867,L2,snR67,snR39
YOR302W_tV(AAC)O,0.116055498239139,L2,YOR302W,tV(AAC)O
YOR302W_YLR154W-F,0.110681156333872,L2,YOR302W,YLR154W-F
YBR141W-A_snR77,0.100320421419691,L2,YBR141W-A,snR77
YER053C-A_YDL232W,0.117021185942553,L2,YER053C-A,YDL232W
YKL100W-A_snR79,0.167949321725065,L2,YKL100W-A,snR79
snR59_YJL136W-A,0.119518854448603,L2,snR59,YJL136W-A
snR59_tV(AAC)O,-0.116324017237081,L2,snR59,tV(AAC)O
snR39_YDL133C-A,0.112891949574527,L2,snR39,YDL133C-A
snR39_snR67,0.136466603421667,L2,snR39,snR67
snR39_snR79,0.165002189803204,L2,snR39,snR79
snR79_YOR161W-A,0.113466799799356,L2,snR79,YOR161W-A
snR79_YJL136W-A,0.144494215417917,L2,snR79,YJL136W-A
snR79_YBL006W-A,0.117303201042388,L2,snR79,YBL006W-A
snR79_YEL008C-A,0.103704308207838,L2,snR79,YEL008C-A
snR79_YNR003W-A,0.117750315056336,L2,snR79,YNR003W-A
snR79_tV(AAC)O,-0.148698328935851,L2,snR79,tV(AAC)O
snR79_snR74,0.103749871005747,L2,snR79,snR74
snR79_YDL133C-A,0.157369996046107,L2,snR79,YDL133C-A
snR79_snR40,0.153346398868034,L2,snR79,snR40
snR79_YEL017C-A,0.136527865768184,L2,snR79,YEL017C-A
snR79_snR67,0.151977587342,L2,snR79,snR67
snR79_snR55,0.145913175739308,L2,snR79,snR55
snR79_YKL100W-A,0.174485333554785,L2,snR79,YKL100W-A
snR79_snR59,0.135491517970749,L2,snR79,snR59
snR79_snR39,0.195832233986985,L2,snR79,snR39
snR79_YHL015W-A,0.130884451450058,L2,snR79,YHL015W-A
snR79_YLR154W-F,-0.166582488463563,L2,snR79,YLR154W-F
YLR154W-F_YDL232W,0.115986517865337,L2,YLR154W-F,YDL232W
YLR154W-F_YNL097W-A,0.107209346017392,L2,YLR154W-F,YNL097W-A
YLR154W-F_tV(AAC)O,0.140809906486577,L2,YLR154W-F,tV(AAC)O
YLR154W-F_YOR302W,0.103886737938669,L2,YLR154W-F,YOR302W
YLR154W-F_snR79,-0.171765060273086,L2,YLR154W-F,snR79
YLR154W-F_YPL135C-A,0.110646347007293,L2,YLR154W-F,YPL135C-A
YPL135C-A_YLR154W-F,0.10852975905386,L2,YPL135C-A,YLR154W-F
YEL032C-A_YMR272W-A,0.110831553799567,L3,YEL032C-A,YMR272W-A
YEL032C-A_YER053C-A,0.108189017402995,L3,YEL032C-A,YER053C-A
YGR068W-A_YBR141W-A,0.127013297375543,L3,YGR068W-A,YBR141W-A
YDL232W_YEL032C-A,0.101671146848712,L3,YDL232W,YEL032C-A
YJL136W-A_tV(AAC)O,-0.134096935937931,L3,YJL136W-A,tV(AAC)O
YJL136W-A_YOR302W,-0.101142011748412,L3,YJL136W-A,YOR302W
YJL136W-A_snR59,0.130420172207771,L3,YJL136W-A,snR59
YJL136W-A_YLR154W-F,-0.118304417216485,L3,YJL136W-A,YLR154W-F
YKL156C-A_YBR141W-A,0.140188714253344,L3,YKL156C-A,YBR141W-A
tV(AAC)O_YJL136W-A,-0.121459128205047,L3,tV(AAC)O,YJL136W-A
tV(AAC)O_YOR302W,0.130785338135943,L3,tV(AAC)O,YOR302W
tV(AAC)O_snR79,-0.150320779902547,L3,tV(AAC)O,snR79
