Gene,Path_ID,Path_Description,Module,Source
YGL030W,R-SCE-72737,Cap-dependent Translation Initiation,1,Reactome
YLR388W,R-SCE-72737,Cap-dependent Translation Initiation,1,Reactome
YKR057W,R-SCE-72737,Cap-dependent Translation Initiation,1,Reactome
YOL039W,R-SCE-72737,Cap-dependent Translation Initiation,1,Reactome
YDL061C,R-SCE-72737,Cap-dependent Translation Initiation,1,Reactome
YDR500C,R-SCE-72737,Cap-dependent Translation Initiation,1,Reactome
YLR264W,R-SCE-72737,Cap-dependent Translation Initiation,1,Reactome
YJL136C,R-SCE-72737,Cap-dependent Translation Initiation,1,Reactome
YLR185W,R-SCE-72737,Cap-dependent Translation Initiation,1,Reactome
YLR185W,R-SCE-72613,Eukaryotic Translation Initiation,1,Reactome
YDL061C,R-SCE-72613,Eukaryotic Translation Initiation,1,Reactome
YLR388W,R-SCE-72613,Eukaryotic Translation Initiation,1,Reactome
YDR500C,R-SCE-72613,Eukaryotic Translation Initiation,1,Reactome
YKR057W,R-SCE-72613,Eukaryotic Translation Initiation,1,Reactome
YLR264W,R-SCE-72613,Eukaryotic Translation Initiation,1,Reactome
YOL039W,R-SCE-72613,Eukaryotic Translation Initiation,1,Reactome
YJL136C,R-SCE-72613,Eukaryotic Translation Initiation,1,Reactome
YGL030W,R-SCE-72613,Eukaryotic Translation Initiation,1,Reactome
YDR500C,R-SCE-72689,Formation of a pool of free 40S subunits,1,Reactome
YGL030W,R-SCE-72689,Formation of a pool of free 40S subunits,1,Reactome
YLR185W,R-SCE-72689,Formation of a pool of free 40S subunits,1,Reactome
YDL061C,R-SCE-72689,Formation of a pool of free 40S subunits,1,Reactome
YLR388W,R-SCE-72689,Formation of a pool of free 40S subunits,1,Reactome
YOL039W,R-SCE-72689,Formation of a pool of free 40S subunits,1,Reactome
YKR057W,R-SCE-72689,Formation of a pool of free 40S subunits,1,Reactome
YJL136C,R-SCE-72689,Formation of a pool of free 40S subunits,1,Reactome
YLR264W,R-SCE-72689,Formation of a pool of free 40S subunits,1,Reactome
YDR500C,R-SCE-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1,Reactome
YLR264W,R-SCE-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1,Reactome
YGL030W,R-SCE-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1,Reactome
YJL136C,R-SCE-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1,Reactome
YLR388W,R-SCE-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1,Reactome
YKR057W,R-SCE-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1,Reactome
YOL039W,R-SCE-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1,Reactome
YDL061C,R-SCE-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1,Reactome
YLR185W,R-SCE-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,1,Reactome
YDR500C,R-SCE-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1,Reactome
YDL061C,R-SCE-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1,Reactome
YLR185W,R-SCE-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1,Reactome
YOL039W,R-SCE-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1,Reactome
YKR057W,R-SCE-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1,Reactome
YLR388W,R-SCE-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1,Reactome
YGL030W,R-SCE-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1,Reactome
YJL136C,R-SCE-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1,Reactome
YLR264W,R-SCE-156827,L13a-mediated translational silencing of Ceruloplasmin expression,1,Reactome
YDR500C,R-SCE-392499,Metabolism of proteins,1,Reactome
YDL061C,R-SCE-392499,Metabolism of proteins,1,Reactome
YLR185W,R-SCE-392499,Metabolism of proteins,1,Reactome
YOL039W,R-SCE-392499,Metabolism of proteins,1,Reactome
YLR264W,R-SCE-392499,Metabolism of proteins,1,Reactome
YKR057W,R-SCE-392499,Metabolism of proteins,1,Reactome
YGL030W,R-SCE-392499,Metabolism of proteins,1,Reactome
YJL136C,R-SCE-392499,Metabolism of proteins,1,Reactome
YLR388W,R-SCE-392499,Metabolism of proteins,1,Reactome
YLR388W,R-SCE-8953854,Metabolism of RNA,1,Reactome
YKR057W,R-SCE-8953854,Metabolism of RNA,1,Reactome
YLR264W,R-SCE-8953854,Metabolism of RNA,1,Reactome
YOL039W,R-SCE-8953854,Metabolism of RNA,1,Reactome
YDL061C,R-SCE-8953854,Metabolism of RNA,1,Reactome
YGL030W,R-SCE-8953854,Metabolism of RNA,1,Reactome
YDR500C,R-SCE-8953854,Metabolism of RNA,1,Reactome
YJL136C,R-SCE-8953854,Metabolism of RNA,1,Reactome
YLR185W,R-SCE-8953854,Metabolism of RNA,1,Reactome
YKR057W,R-SCE-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),1,Reactome
YGL030W,R-SCE-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),1,Reactome
YDR500C,R-SCE-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),1,Reactome
YJL136C,R-SCE-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),1,Reactome
YLR264W,R-SCE-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),1,Reactome
YOL039W,R-SCE-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),1,Reactome
YLR388W,R-SCE-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),1,Reactome
YDL061C,R-SCE-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),1,Reactome
YLR185W,R-SCE-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),1,Reactome
YLR388W,R-SCE-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),1,Reactome
