Reg,Weight,Module,Regulator,TargetGene
lncRNA-rRPPH1_GAPDH,0.0919031945897852,L2,lncRNA-rRPPH1,GAPDH
lncRNA-rRPPH1_LDHB,0.0193360015678123,L2,lncRNA-rRPPH1,LDHB
lncRNA-rRPPH1_RPS12,0.019431265161409,L2,lncRNA-rRPPH1,RPS12
lncRNA-rRPPH1_RPL24,0.0461754793467372,L2,lncRNA-rRPPH1,RPL24
lncRNA-rRPPH1_HDLBP,0.0166568708455403,L2,lncRNA-rRPPH1,HDLBP
lncRNA-rRPPH1_RPS25,0.0228196455898767,L2,lncRNA-rRPPH1,RPS25
lncRNA-rRPPH1_RPL21,0.019539867477745,L2,lncRNA-rRPPH1,RPL21
lncRNA-rRPPH1_ANXA11,0.0240419151852754,L2,lncRNA-rRPPH1,ANXA11
lncRNA-rRPPH1_RPL5,0.0166352490980027,L2,lncRNA-rRPPH1,RPL5
lncRNA-rRPPH1_RPL23,0.634120940524566,L2,lncRNA-rRPPH1,RPL23
lncRNA-rRPPH1_ERGIC3,0.0184146559741405,L2,lncRNA-rRPPH1,ERGIC3
lncRNA-rRPPH1_COX7C,0.0208732474152177,L2,lncRNA-rRPPH1,COX7C
lncRNA-rRPPH1_RPL27,0.0757085333729218,L2,lncRNA-rRPPH1,RPL27
lncRNA-rRPPH1_STARD3,0.0383054397235931,L2,lncRNA-rRPPH1,STARD3
lncRNA-rRPPH1_EIF5A,0.0213244496948022,L2,lncRNA-rRPPH1,EIF5A
lncRNA-rRPPH1_TPT1,0.0540813327027333,L2,lncRNA-rRPPH1,TPT1
lncRNA-rRPPH1_RPS15A,0.0161309878512242,L2,lncRNA-rRPPH1,RPS15A
lncRNA-rRPPH1_KRT7,0.0176802122014904,L2,lncRNA-rRPPH1,KRT7
lncRNA-rRPPH1_HNRNPA1,0.0173879595365477,L2,lncRNA-rRPPH1,HNRNPA1
lncRNA-rRPPH1_RPL35,0.0214349545467588,L2,lncRNA-rRPPH1,RPL35
lncRNA-rRPPH1_RPS24,0.0479581015855624,L2,lncRNA-rRPPH1,RPS24
lncRNA-rRPPH1_RPS2,0.0604809787520084,L2,lncRNA-rRPPH1,RPS2
lncRNA-rRPPH1_ERBB2,0.0316692905642912,L2,lncRNA-rRPPH1,ERBB2
lncRNA-rRPPH1_MIEN1,0.0195527281225234,L2,lncRNA-rRPPH1,MIEN1
lncRNA-rRPPH1_RPS11,0.0435515533623781,L2,lncRNA-rRPPH1,RPS11
lncRNA-rRPPH1_RPL13A,0.0317863803299514,L2,lncRNA-rRPPH1,RPL13A
lncRNA-rRPPH1_RPS27A,0.0395472128544327,L2,lncRNA-rRPPH1,RPS27A
lncRNA-rRPPH1_RPL32,0.0261620819666215,L2,lncRNA-rRPPH1,RPL32
lncRNA-rRPPH1_BTF3,0.0161577039780479,L2,lncRNA-rRPPH1,BTF3
lncRNA-rRPPH1_RPL10,0.0558375696523794,L2,lncRNA-rRPPH1,RPL10
lncRNA-rRPPH1_RPL7,0.0209326495465773,L2,lncRNA-rRPPH1,RPL7
lncRNA-rRPPH1_RPL7A,0.0175747240115661,L2,lncRNA-rRPPH1,RPL7A
lncRNA-rRPPH1_RPS3,0.0782490538294899,L2,lncRNA-rRPPH1,RPS3
lncRNA-rRPPH1_RPL30,0.018208741372693,L2,lncRNA-rRPPH1,RPL30
lncRNA-rRPPH1_EEF1A1,0.129644533648185,L2,lncRNA-rRPPH1,EEF1A1
lncRNA-rRPPH1_TAGLN2,0.0235600489194978,L2,lncRNA-rRPPH1,TAGLN2
lncRNA-rRPPH1_MGAT4B,0.0587473921853936,L2,lncRNA-rRPPH1,MGAT4B
lncRNA-rRPPH1_RPL8,0.0357523496512582,L2,lncRNA-rRPPH1,RPL8
lncRNA-rRPPH1_RPL9,0.026840694166775,L2,lncRNA-rRPPH1,RPL9
lncRNA-rRPPH1_H2AZ1,0.0190211441552284,L2,lncRNA-rRPPH1,H2AZ1
lncRNA-rRPPH1_RPS14,0.136718105167941,L2,lncRNA-rRPPH1,RPS14
lncRNA-rRPPH1_RPL27A,0.018872494891987,L2,lncRNA-rRPPH1,RPL27A
lncRNA-rRPPH1_RPL13,0.0624895697429442,L2,lncRNA-rRPPH1,RPL13
lncRNA-rRPPH1_EEF2,0.0703196593037636,L2,lncRNA-rRPPH1,EEF2
lncRNA-rRPPH1_FTH1,0.0371151587621369,L2,lncRNA-rRPPH1,FTH1
lncRNA-rRPPH1_RPSA,0.0250971575094527,L2,lncRNA-rRPPH1,RPSA
lncRNA-rRPPH1_PRELID1,0.027733746447146,L2,lncRNA-rRPPH1,PRELID1
lncRNA-rRPPH1_TM4SF1,0.0172234697262931,L2,lncRNA-rRPPH1,TM4SF1
lncRNA-rRPPH1_KRT8,0.103026303907841,L2,lncRNA-rRPPH1,KRT8
lncRNA-rRPPH1_RPS9,0.023866114667359,L2,lncRNA-rRPPH1,RPS9
lncRNA-rRPPH1_RPS21,0.0672562270206003,L2,lncRNA-rRPPH1,RPS21
lncRNA-rRPPH1_RPS7,0.156917862569749,L2,lncRNA-rRPPH1,RPS7
