Reg,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7
YPR182W_YOL039W,0.0105403114178809,0.0073675677627294,0.0,0.0,0.0107999820877728,0.0074233655434346,0.0072068998627449
snR77_YBR252W,0.0106984915985004,0.0,0.0,0.0,0.0,0.0,0.0
snR77_YLR062C,0.0110132278629528,0.0,0.0,0.0,0.0,0.0,0.0
snR77_YGR063C,0.0125315681119823,0.0,0.0,0.0,0.0,0.0,0.0
snR77_YLR402W,0.0407035641478918,0.0,0.0,0.0,0.0,0.0,0.0299293713533628
snR77_YDL061C,0.0389705899376183,0.0,0.0,0.0739668829270314,0.0,0.0,0.0
snR77_YML129C,0.0457613336028126,0.0,0.0,0.0893109182502088,0.0,0.0,0.0
snR77_YDR276C,0.0357086596937868,0.0,0.0,0.0560585820893497,0.0,0.0,0.0
snR77_YPL136W,0.0133884308430004,0.0,0.0,0.0,0.0,0.0,0.0
snR77_YDR193W,0.010300738222603,0.0,0.0,0.0,0.0,0.0,0.0
snR77_YDL184C,0.0552134838661273,0.0,0.0,0.0937397120815251,0.0,0.0,0.0
snR77_YGL030W,0.010696713594708,0.0,0.0,0.0,0.0,0.0,0.0
snR77_YOR146W,0.0110547115431669,0.0,0.0,0.0,0.0,0.0,0.0
snR77_YNL086W,0.0121772046596254,0.0,0.0,0.0,0.0,0.0,0.0
snR77_snR13,0.017520194962844,0.0,0.0,0.0,0.0,0.0,0.0
snR77_YLR185W,0.0176588489588711,0.0,0.0,0.0,0.0,0.0,0.0
snR77_snR85,0.0227753055905377,0.0,0.0,0.0,0.0,0.0,0.0
snR77_snR65,0.0310733025611164,0.0,0.0,0.0,0.0,0.0,-0.0074635538452207
snR77_YIL052C,0.0114993494423659,0.0,0.0,0.0,0.0,0.0,0.0
snR77_YGR105W,0.0148973835299808,0.0,0.0,0.0,0.0,0.0,0.0
snR77_YOR167C,0.0176689094478128,0.0,0.0,0.0,0.0,0.0,0.0
snR77_YJR085C,0.012694900008271,0.0,0.0,0.0,0.0,0.0,0.0
snR77_YDR500C,0.010188441730073,0.0,0.0,0.0,0.0,0.0,0.0
YDL232W_snR64,0.0606839464006097,0.0879628368241726,0.0899176922109426,0.0834976956744696,0.0,0.0,0.0
YDL232W_snR24,0.044280561624167,0.0,0.0,0.0,0.0,0.0,0.0
snR18_snR39,0.184635135738049,0.118016287863027,0.124896372039276,0.14927955524917,0.172049412103885,0.206599166562072,0.182845728091289
YLR402W_snR77,0.0381228855990584,0.0,0.0528673065100678,0.0525737569488505,0.0,0.0,0.0
YLR402W_YPL136W,0.0100115750818757,0.0089214349057292,0.007632708678627,0.0,0.0115478791812493,0.0,0.0
YLR402W_YLR388W,0.0118256518796734,0.0,0.0,0.0,0.0,0.0,0.0
YLR402W_snR85,0.0183000059818553,0.0,0.0,0.0,0.0,0.0,0.0
YLR402W_YGR105W,0.0112639111630399,0.011629833073314,0.0113993824514581,0.0114031639993612,0.0,0.0,0.0
snR76_snR54,0.014116846525044,0.0,0.0,0.0,0.0195755987043152,0.0,0.0
snR76_snR74,0.0314774329858052,0.0,0.0,0.0,0.0,0.0,0.0
snR87_YNL145W,0.0117510938579385,0.015401039588569,0.0147298436463254,0.0,0.0,0.016058295417927,0.0
snR87_snR38,0.0176524617151412,0.0,0.0,0.0,0.0,0.0110429245354316,0.0
YML129C_YLR062C,0.0106744221093087,0.0,0.0,0.0,0.0,0.0,0.0
YML129C_YDL184C,0.0472970184861454,0.0484824754488533,0.0494654336814441,0.0500252245994034,0.0,0.0,0.0
YML129C_YLR185W,0.0164518152162321,0.0,0.0,0.0,0.0151644243784537,0.0,0.005433854893813
YML129C_snR65,0.0276266626453767,0.0,0.0285424950651428,0.0280766654693936,0.0,0.0,0.0
YML129C_YIL052C,0.0104124582225929,0.0,0.0,0.0,0.0,0.0,0.0032314877923854
YDR276C_YLR402W,0.0246125312937861,0.0229119493202243,0.0,0.0,0.0497569522138966,0.033813344873988,0.0389626625035502
YDR276C_snR13,0.0107572524241399,0.0093166118721355,0.0094538384295079,0.0092599005378117,0.0,0.0,0.008943876768323
YDR276C_YOR167C,0.0109350225388578,0.0,0.0,0.0,0.0,0.0,0.0
snR64_YDL232W,0.0619074992803541,0.0902387011560938,0.0913796079148397,0.0867578984500021,0.0,0.0,0.0393844159561619
snR128_YJL205C,0.0176204822399627,0.0217459793639554,0.0233101407601112,0.0,0.0,0.0,0.0
snR128_snR18,0.0624366180866404,0.0656629943208209,0.0607083075589074,0.0460950281305343,0.0,0.0,-0.0450164798604231
snR58_snR64,0.0195550478045941,0.0,0.019296605829547,0.0,0.0134262547598758,0.0,0.0
snR40_snR87,0.0506167064594675,0.0291899937975704,0.0,0.0,0.0209736560113601,0.0241049106842713,0.0
snR40_YOR302W,0.0410070571826435,0.032834875071876,0.0347926969985779,0.0,0.0332502443609652,0.0,0.0426292312144571
snR40_YDL067C,0.0256308044564759,0.0155952156551018,0.0,0.0,0.0121489592005011,0.0,0.0
snR67_snR38,0.020515613149378,0.0,0.0,0.0,0.0,0.0,0.0
